label,count
1. Dog,12
1. loud,13
11. Car,14
14. Election,11
16. train ticket,12
19. House,18
2. Death,8
2. quiet,16
23. Court,18
28. Store or Shop,16
28. Window,10
3. happy,16
34. Pen,11
35. Bank,14
37. Hat,13
4. Bird,22
40. I,16
40. Paint,11
42. T-Shirt,15
44. Shoes,14
44. it,11
46. you (plural),16
47. Red,16
48. Hello,13
5. Cow,16
51. Good Morning,15
53. Fan,11
54. Black,14
54. Cell phone,9
55. Thank you,13
55. White,17
61. Father,16
61. Summer,10
64. Fall,11
66. Brother,14
67. Monday,11
77. Boy,15
78. Girl,16
78. Year,7
78. long,14
79. short,14
83. big large,15
84. Teacher,10
84. small little,16
86. Time,11
87. hot,14
91. Priest,13
91. new,16
94. good,16
97. dry,19
