sample_id,split,category,label,original_video_path,processed_file_path,total_frames,valid_frames,feature_dimension,valid,failure_reason
1._loud_MVI_9448_0000,train,Adjectives,1. loud,Adjectives/1. loud/MVI_9448.MOV,data/landmarks/include50/1._loud_MVI_9448_0000.npz,56,56,258,True,
83._big_large_MVI_5204_0001,train,Adjectives,83. big large,Adjectives/83. big large/MVI_5204.MOV,data/landmarks/include50/83._big_large_MVI_5204_0001.npz,70,70,258,True,
2._quiet_MVI_5338_0002,train,Adjectives,2. quiet,Adjectives/2. quiet/MVI_5338.MOV,data/landmarks/include50/2._quiet_MVI_5338_0002.npz,45,45,258,True,
97._dry_MVI_5328_0003,train,Adjectives,97. dry,Adjectives/97. dry/MVI_5328.MOV,data/landmarks/include50/97._dry_MVI_5328_0003.npz,55,55,258,True,
78._long_MVI_5186_0004,train,Adjectives,78. long,Adjectives/78. long/MVI_5186.MOV,data/landmarks/include50/78._long_MVI_5186_0004.npz,64,64,258,True,
97._dry_MVI_9523_0005,train,Adjectives,97. dry,Adjectives/97. dry/MVI_9523.MOV,data/landmarks/include50/97._dry_MVI_9523_0005.npz,66,66,258,True,
83._big_large_MVI_9317_0006,train,Adjectives,83. big large,Adjectives/83. big large/MVI_9317.MOV,data/landmarks/include50/83._big_large_MVI_9317_0006.npz,48,48,258,True,
2._quiet_MVI_9452_0007,train,Adjectives,2. quiet,Adjectives/2. quiet/MVI_9452.MOV,data/landmarks/include50/2._quiet_MVI_9452_0007.npz,66,66,258,True,
79._short_MVI_9380_0008,train,Adjectives,79. short,Adjectives/79. short/MVI_9380.MOV,data/landmarks/include50/79._short_MVI_9380_0008.npz,53,53,258,True,
79._short_MVI_5270_0009,train,Adjectives,79. short,Adjectives/79. short/MVI_5270.MOV,data/landmarks/include50/79._short_MVI_5270_0009.npz,51,51,258,True,
91._new_MVI_9502_0010,train,Adjectives,91. new,Adjectives/91. new/MVI_9502.MOV,data/landmarks/include50/91._new_MVI_9502_0010.npz,52,52,258,True,
2._quiet_MVI_9371_0011,train,Adjectives,2. quiet,Adjectives/2. quiet/MVI_9371.MOV,data/landmarks/include50/2._quiet_MVI_9371_0011.npz,48,48,258,True,
79._short_MVI_9382_0012,train,Adjectives,79. short,Adjectives/79. short/MVI_9382.MOV,data/landmarks/include50/79._short_MVI_9382_0012.npz,45,45,258,True,
91._new_MVI_9421_0013,train,Adjectives,91. new,Adjectives/91. new/MVI_9421.MOV,data/landmarks/include50/91._new_MVI_9421_0013.npz,63,63,258,True,
87._hot_MVI_5136_0014,train,Adjectives,87. hot,Adjectives/87. hot/MVI_5136.MOV,data/landmarks/include50/87._hot_MVI_5136_0014.npz,71,71,258,True,
2._quiet_MVI_5339_0015,train,Adjectives,2. quiet,Adjectives/2. quiet/MVI_5339.MOV,data/landmarks/include50/2._quiet_MVI_5339_0015.npz,52,52,258,True,
1._loud_MVI_5336_0016,train,Adjectives,1. loud,Adjectives/1. loud/MVI_5336.MOV,data/landmarks/include50/1._loud_MVI_5336_0016.npz,42,42,258,True,
78._long_MVI_5108_0017,train,Adjectives,78. long,Adjectives/78. long/MVI_5108.MOV,data/landmarks/include50/78._long_MVI_5108_0017.npz,78,78,258,True,
2._quiet_MVI_9538_0018,train,Adjectives,2. quiet,Adjectives/2. quiet/MVI_9538.MOV,data/landmarks/include50/2._quiet_MVI_9538_0018.npz,66,66,258,True,
94._good_MVI_5240_0019,train,Adjectives,94. good,Adjectives/94. good/MVI_5240.MOV,data/landmarks/include50/94._good_MVI_5240_0019.npz,65,65,258,True,
2._quiet_MVI_9453_0020,train,Adjectives,2. quiet,Adjectives/2. quiet/MVI_9453.MOV,data/landmarks/include50/2._quiet_MVI_9453_0020.npz,60,60,258,True,
97._dry_MVI_5167_0021,train,Adjectives,97. dry,Adjectives/97. dry/MVI_5167.MOV,data/landmarks/include50/97._dry_MVI_5167_0021.npz,68,68,258,True,
3._happy_MVI_9540_0022,train,Adjectives,3. happy,Adjectives/3. happy/MVI_9540.MOV,data/landmarks/include50/3._happy_MVI_9540_0022.npz,50,50,258,True,
83._big_large_MVI_5284_0023,train,Adjectives,83. big large,Adjectives/83. big large/MVI_5284.MOV,data/landmarks/include50/83._big_large_MVI_5284_0023.npz,55,55,258,True,
1._loud_MVI_9368_0024,train,Adjectives,1. loud,Adjectives/1. loud/MVI_9368.MOV,data/landmarks/include50/1._loud_MVI_9368_0024.npz,47,47,258,True,
84._small_little_MVI_9236_0025,train,Adjectives,84. small little,Adjectives/84. small little/MVI_9236.MOV,data/landmarks/include50/84._small_little_MVI_9236_0025.npz,44,44,258,True,
91._new_MVI_5309_0026,train,Adjectives,91. new,Adjectives/91. new/MVI_5309.MOV,data/landmarks/include50/91._new_MVI_5309_0026.npz,46,46,258,True,
84._small_little_MVI_5287_0027,train,Adjectives,84. small little,Adjectives/84. small little/MVI_5287.MOV,data/landmarks/include50/84._small_little_MVI_5287_0027.npz,54,54,258,True,
94._good_MVI_9432_0028,train,Adjectives,94. good,Adjectives/94. good/MVI_9432.MOV,data/landmarks/include50/94._good_MVI_9432_0028.npz,59,59,258,True,
97._dry_MVI_9521_0029,train,Adjectives,97. dry,Adjectives/97. dry/MVI_9521.MOV,data/landmarks/include50/97._dry_MVI_9521_0029.npz,63,63,258,True,
87._hot_MVI_9409_0030,train,Adjectives,87. hot,Adjectives/87. hot/MVI_9409.MOV,data/landmarks/include50/87._hot_MVI_9409_0030.npz,66,66,258,True,
83._big_large_MVI_9234_0031,train,Adjectives,83. big large,Adjectives/83. big large/MVI_9234.MOV,data/landmarks/include50/83._big_large_MVI_9234_0031.npz,47,47,258,True,
84._small_little_MVI_5288_0032,train,Adjectives,84. small little,Adjectives/84. small little/MVI_5288.MOV,data/landmarks/include50/84._small_little_MVI_5288_0032.npz,38,38,258,True,
94._good_MVI_9349_0033,train,Adjectives,94. good,Adjectives/94. good/MVI_9349.MOV,data/landmarks/include50/94._good_MVI_9349_0033.npz,41,41,258,True,
3._happy_MVI_5185_0034,train,Adjectives,3. happy,Adjectives/3. happy/MVI_5185.MOV,data/landmarks/include50/3._happy_MVI_5185_0034.npz,78,78,258,True,
97._dry_MVI_9279_0035,train,Adjectives,97. dry,Adjectives/97. dry/MVI_9279.MOV,data/landmarks/include50/97._dry_MVI_9279_0035.npz,56,56,258,True,
78._long_MVI_5266_0036,train,Adjectives,78. long,Adjectives/78. long/MVI_5266.MOV,data/landmarks/include50/78._long_MVI_5266_0036.npz,69,69,258,True,
3._happy_MVI_9296_0037,train,Adjectives,3. happy,Adjectives/3. happy/MVI_9296.MOV,data/landmarks/include50/3._happy_MVI_9296_0037.npz,50,50,258,True,
78._long_MVI_5188_0038,train,Adjectives,78. long,Adjectives/78. long/MVI_5188.MOV,data/landmarks/include50/78._long_MVI_5188_0038.npz,51,51,258,True,
1._loud_MVI_9290_0039,train,Adjectives,1. loud,Adjectives/1. loud/MVI_9290.MOV,data/landmarks/include50/1._loud_MVI_9290_0039.npz,64,64,258,True,
87._hot_MVI_9328_0040,train,Adjectives,87. hot,Adjectives/87. hot/MVI_9328.MOV,data/landmarks/include50/87._hot_MVI_9328_0040.npz,52,52,258,True,
2._quiet_MVI_9293_0041,train,Adjectives,2. quiet,Adjectives/2. quiet/MVI_9293.MOV,data/landmarks/include50/2._quiet_MVI_9293_0041.npz,53,53,258,True,
94._good_MVI_9431_0042,train,Adjectives,94. good,Adjectives/94. good/MVI_9431.MOV,data/landmarks/include50/94._good_MVI_9431_0042.npz,59,59,258,True,
83._big_large_MVI_9318_0043,train,Adjectives,83. big large,Adjectives/83. big large/MVI_9318.MOV,data/landmarks/include50/83._big_large_MVI_9318_0043.npz,49,49,258,True,
2._quiet_MVI_5181_0044,train,Adjectives,2. quiet,Adjectives/2. quiet/MVI_5181.MOV,data/landmarks/include50/2._quiet_MVI_5181_0044.npz,74,74,258,True,
97._dry_MVI_5168_0045,train,Adjectives,97. dry,Adjectives/97. dry/MVI_5168.MOV,data/landmarks/include50/97._dry_MVI_5168_0045.npz,80,80,258,True,
83._big_large_MVI_5123_0046,train,Adjectives,83. big large,Adjectives/83. big large/MVI_5123.MOV,data/landmarks/include50/83._big_large_MVI_5123_0046.npz,54,54,258,True,
3._happy_MVI_5264_0047,train,Adjectives,3. happy,Adjectives/3. happy/MVI_5264.MOV,data/landmarks/include50/3._happy_MVI_5264_0047.npz,56,56,258,True,
78._long_MVI_9299_0048,train,Adjectives,78. long,Adjectives/78. long/MVI_9299.MOV,data/landmarks/include50/78._long_MVI_9299_0048.npz,50,50,258,True,
79._short_MVI_5112_0049,train,Adjectives,79. short,Adjectives/79. short/MVI_5112.MOV,data/landmarks/include50/79._short_MVI_5112_0049.npz,61,61,258,True,
