split,category,label,video_path,video_exists,readable,total_frames,fps,duration_seconds,failure_reason
train,Adjectives,1. loud,Adjectives/1. loud/MVI_9448.MOV,True,True,56,25.0,2.24,
train,Adjectives,83. big large,Adjectives/83. big large/MVI_5204.MOV,True,True,70,25.0,2.8,
train,Adjectives,2. quiet,Adjectives/2. quiet/MVI_5338.MOV,True,True,45,25.0,1.8,
train,Adjectives,97. dry,Adjectives/97. dry/MVI_5328.MOV,True,True,55,25.0,2.2,
train,Adjectives,78. long,Adjectives/78. long/MVI_5186.MOV,True,True,64,25.0,2.56,
train,Adjectives,97. dry,Adjectives/97. dry/MVI_9523.MOV,True,True,66,25.0,2.64,
train,Adjectives,83. big large,Adjectives/83. big large/MVI_9317.MOV,True,True,48,25.0,1.92,
train,Adjectives,2. quiet,Adjectives/2. quiet/MVI_9452.MOV,True,True,66,25.0,2.64,
train,Adjectives,79. short,Adjectives/79. short/MVI_9380.MOV,True,True,53,25.0,2.12,
train,Adjectives,79. short,Adjectives/79. short/MVI_5270.MOV,True,True,51,25.0,2.04,
train,Adjectives,91. new,Adjectives/91. new/MVI_9502.MOV,True,True,52,25.0,2.08,
train,Adjectives,2. quiet,Adjectives/2. quiet/MVI_9371.MOV,True,True,48,25.0,1.92,
train,Adjectives,79. short,Adjectives/79. short/MVI_9382.MOV,True,True,45,25.0,1.8,
train,Adjectives,91. new,Adjectives/91. new/MVI_9421.MOV,True,True,63,25.0,2.52,
train,Adjectives,87. hot,Adjectives/87. hot/MVI_5136.MOV,True,True,71,25.0,2.84,
train,Adjectives,2. quiet,Adjectives/2. quiet/MVI_5339.MOV,True,True,52,25.0,2.08,
train,Adjectives,1. loud,Adjectives/1. loud/MVI_5336.MOV,True,True,42,25.0,1.68,
train,Adjectives,78. long,Adjectives/78. long/MVI_5108.MOV,True,True,78,25.0,3.12,
train,Adjectives,2. quiet,Adjectives/2. quiet/MVI_9538.MOV,True,True,66,25.0,2.64,
train,Adjectives,94. good,Adjectives/94. good/MVI_5240.MOV,True,True,65,25.0,2.6,
train,Adjectives,2. quiet,Adjectives/2. quiet/MVI_9453.MOV,True,True,60,25.0,2.4,
train,Adjectives,97. dry,Adjectives/97. dry/MVI_5167.MOV,True,True,68,25.0,2.72,
train,Adjectives,3. happy,Adjectives/3. happy/MVI_9540.MOV,True,True,50,25.0,2.0,
train,Adjectives,83. big large,Adjectives/83. big large/MVI_5284.MOV,True,True,55,25.0,2.2,
train,Adjectives,1. loud,Adjectives/1. loud/MVI_9368.MOV,True,True,47,25.0,1.88,
train,Adjectives,84. small little,Adjectives/84. small little/MVI_9236.MOV,True,True,44,25.0,1.76,
train,Adjectives,91. new,Adjectives/91. new/MVI_5309.MOV,True,True,46,25.0,1.84,
train,Adjectives,84. small little,Adjectives/84. small little/MVI_5287.MOV,True,True,54,25.0,2.16,
train,Adjectives,94. good,Adjectives/94. good/MVI_9432.MOV,True,True,59,25.0,2.36,
train,Adjectives,97. dry,Adjectives/97. dry/MVI_9521.MOV,True,True,63,25.0,2.52,
train,Adjectives,87. hot,Adjectives/87. hot/MVI_9409.MOV,True,True,66,25.0,2.64,
train,Adjectives,83. big large,Adjectives/83. big large/MVI_9234.MOV,True,True,47,25.0,1.88,
train,Adjectives,84. small little,Adjectives/84. small little/MVI_5288.MOV,True,True,38,25.0,1.52,
train,Adjectives,94. good,Adjectives/94. good/MVI_9349.MOV,True,True,41,25.0,1.64,
train,Adjectives,3. happy,Adjectives/3. happy/MVI_5185.MOV,True,True,78,25.0,3.12,
train,Adjectives,97. dry,Adjectives/97. dry/MVI_9279.MOV,True,True,56,25.0,2.24,
train,Adjectives,78. long,Adjectives/78. long/MVI_5266.MOV,True,True,69,25.0,2.76,
train,Adjectives,3. happy,Adjectives/3. happy/MVI_9296.MOV,True,True,50,25.0,2.0,
train,Adjectives,78. long,Adjectives/78. long/MVI_5188.MOV,True,True,51,25.0,2.04,
train,Adjectives,1. loud,Adjectives/1. loud/MVI_9290.MOV,True,True,64,25.0,2.56,
train,Adjectives,87. hot,Adjectives/87. hot/MVI_9328.MOV,True,True,52,25.0,2.08,
train,Adjectives,2. quiet,Adjectives/2. quiet/MVI_9293.MOV,True,True,53,25.0,2.12,
train,Adjectives,94. good,Adjectives/94. good/MVI_9431.MOV,True,True,59,25.0,2.36,
train,Adjectives,83. big large,Adjectives/83. big large/MVI_9318.MOV,True,True,49,25.0,1.96,
train,Adjectives,2. quiet,Adjectives/2. quiet/MVI_5181.MOV,True,True,74,25.0,2.96,
train,Adjectives,97. dry,Adjectives/97. dry/MVI_5168.MOV,True,True,80,25.0,3.2,
train,Adjectives,83. big large,Adjectives/83. big large/MVI_5123.MOV,True,True,54,25.0,2.16,
train,Adjectives,3. happy,Adjectives/3. happy/MVI_5264.MOV,True,True,56,25.0,2.24,
train,Adjectives,78. long,Adjectives/78. long/MVI_9299.MOV,True,True,50,25.0,2.0,
train,Adjectives,79. short,Adjectives/79. short/MVI_5112.MOV,True,True,61,25.0,2.44,
train,Adjectives,78. long,Adjectives/78. long/MVI_5187.MOV,True,True,60,25.0,2.4,
train,Adjectives,97. dry,Adjectives/97. dry/MVI_5250.MOV,True,True,67,25.0,2.68,
train,Adjectives,87. hot,Adjectives/87. hot/MVI_5217.MOV,True,True,66,25.0,2.64,
train,Adjectives,3. happy,Adjectives/3. happy/MVI_9455.MOV,True,True,51,25.0,2.04,
train,Adjectives,91. new,Adjectives/91. new/MVI_9500.MOV,True,True,56,25.0,2.24,
train,Adjectives,78. long,Adjectives/78. long/MVI_9460.MOV,True,True,52,25.0,2.08,
train,Adjectives,91. new,Adjectives/91. new/MVI_5231.MOV,True,True,62,25.0,2.48,
train,Adjectives,83. big large,Adjectives/83. big large/MVI_9316.MOV,True,True,44,25.0,1.76,
train,Adjectives,84. small little,Adjectives/84. small little/MVI_5286.MOV,True,True,52,25.0,2.08,
train,Adjectives,79. short,Adjectives/79. short/MVI_9221.MOV,True,True,44,25.0,1.76,
train,Adjectives,78. long,Adjectives/78. long/MVI_9298.MOV,True,True,53,25.0,2.12,
train,Adjectives,2. quiet,Adjectives/2. quiet/MVI_5182.MOV,True,True,76,25.0,3.04,
train,Adjectives,97. dry,Adjectives/97. dry/MVI_5169.MOV,True,True,82,25.0,3.28,
train,Adjectives,3. happy,Adjectives/3. happy/MVI_9542.MOV,True,True,58,25.0,2.32,
train,Adjectives,94. good,Adjectives/94. good/MVI_9512.MOV,True,True,50,25.0,2.0,
train,Adjectives,94. good,Adjectives/94. good/MVI_9511.MOV,True,True,56,25.0,2.24,
train,Adjectives,3. happy,Adjectives/3. happy/MVI_9375.MOV,True,True,41,25.0,1.64,
train,Adjectives,87. hot,Adjectives/87. hot/MVI_5295.MOV,True,True,56,25.0,2.24,
train,Adjectives,91. new,Adjectives/91. new/MVI_5229.MOV,True,True,54,25.0,2.16,
train,Adjectives,1. loud,Adjectives/1. loud/MVI_9370.MOV,True,True,46,25.0,1.84,
train,Adjectives,79. short,Adjectives/79. short/MVI_5110.MOV,True,True,62,25.0,2.48,
train,Adjectives,79. short,Adjectives/79. short/MVI_5110.MOV,True,True,62,25.0,2.48,
train,Adjectives,97. dry,Adjectives/97. dry/MVI_9439.MOV,True,True,63,25.0,2.52,
train,Adjectives,91. new,Adjectives/91. new/MVI_9260.MOV,True,True,49,25.0,1.96,
train,Adjectives,79. short,Adjectives/79. short/MVI_9381.MOV,True,True,47,25.0,1.88,
train,Adjectives,94. good,Adjectives/94. good/MVI_5238.MOV,True,True,49,25.0,1.96,
train,Adjectives,97. dry,Adjectives/97. dry/MVI_5326.MOV,True,True,60,25.0,2.4,
train,Adjectives,83. big large,Adjectives/83. big large/MVI_5124.MOV,True,True,61,25.0,2.44,
train,Adjectives,1. loud,Adjectives/1. loud/MVI_5335.MOV,True,True,45,25.0,1.8,
train,Adjectives,87. hot,Adjectives/87. hot/MVI_5296.MOV,True,True,56,25.0,2.24,
train,Adjectives,91. new,Adjectives/91. new/MVI_9422.MOV,True,True,47,25.0,1.88,
train,Adjectives,91. new,Adjectives/91. new/MVI_9341.MOV,True,True,49,25.0,1.96,
train,Adjectives,94. good,Adjectives/94. good/MVI_9269.MOV,True,True,48,25.0,1.92,
train,Adjectives,84. small little,Adjectives/84. small little/MVI_5128.MOV,True,True,62,25.0,2.48,
train,Adjectives,84. small little,Adjectives/84. small little/MVI_5126.MOV,True,True,83,25.0,3.32,
train,Adjectives,91. new,Adjectives/91. new/MVI_9342.MOV,True,True,47,25.0,1.88,
